#Name,SampleID,Facility,Week ,Month,L. monocytogenes,Section,SampleOrder,Year,FacY,Collection
11031s,11031s,F1,W01,November,+,wash,10,Y1,F1-Y1,November 2017
11032s,11032s,F1,W01,November,-,dry ,25,Y1,F1-Y1,November 2017
11033s,11033s,F1,W01,November,-,wax,26,Y1,F1-Y1,November 2017
11034s,11034s,F2,W01,November,+,wash,35,Y1,F2-Y1,November 2017
11035s,11035s,F2,W01,November,+,dry ,34,Y1,F2-Y1,November 2017
11036s,11036s,F2,W01,November,+,wax,36,Y1,F2-Y1,November 2017
11037s,11037s,F3,W01,November,-,wash,22,Y1,F3-Y1,November 2017
11038s,11038s,F3,W01,November,+,dry ,13,Y1,F3-Y1,November 2017
11039s,11039s,F3,W01,November,-,wax,23,Y1,F3-Y1,November 2017
11211s,11211s,F1,W02,November,+,wash,11,Y1,F1-Y1,November 2017
11212s,11212s,F1,W02,November,-,dry ,27,Y1,F1-Y1,November 2017
11213s,11213s,F1,W02,November,-,wax,28,Y1,F1-Y1,November 2017
11214s,11214s,F2,W02,November,+,wash,38,Y1,F2-Y1,November 2017
11215s,11215s,F2,W02,November,+,dry ,37,Y1,F2-Y1,November 2017
11216s,11216s,F2,W02,November,+,wax,39,Y1,F2-Y1,November 2017
11217s,11217s,F3,W02,November,+,wash,15,Y1,F3-Y1,November 2017
11218s,11218s,F3,W02,November,+,dry ,14,Y1,F3-Y1,November 2017
11219s,11219s,F3,W02,November,+,wax,16,Y1,F3-Y1,November 2017
12081s,12081s,F1,W03,December,+,wash,3,Y1,F1-Y1,December 2017
12082s,12082s,F1,W03,December,-,dry ,8,Y1,F1-Y1,December 2017
12083s,12083s,F1,W03,December,-,wax,9,Y1,F1-Y1,December 2017
12084s,12084s,F2,W03,December,+,wash,11,Y1,F2-Y1,December 2017
12085s,12085s,F2,W03,December,+,dry ,10,Y1,F2-Y1,December 2017
12086s,12086s,F2,W03,December,+,wax,12,Y1,F2-Y1,December 2017
12087s,12087s,F3,W03,December,+,wash,2,Y1,F3-Y1,December 2017
12088s,12088s,F3,W03,December,+,dry ,1,Y1,F3-Y1,December 2017
12089s,12089s,F3,W03,December,+,wax,3,Y1,F3-Y1,December 2017
12181s,12181s,F1,W04,December,-,wash,10,Y1,F1-Y1,December 2017
12182s,12182s,F1,W04,December,+,dry ,4,Y1,F1-Y1,December 2017
12183s,12183s,F1,W04,December,-,wax,11,Y1,F1-Y1,December 2017
12184s,12184s,F2,W04,December,+,wash,14,Y1,F2-Y1,December 2017
12185s,12185s,F2,W04,December,+,dry ,13,Y1,F2-Y1,December 2017
12186s,12186s,F2,W04,December,+,wax,15,Y1,F2-Y1,December 2017
12187s,12187s,F3,W04,December,-,wash,10,Y1,F3-Y1,December 2017
12188s,12188s,F3,W04,December,+,dry ,4,Y1,F3-Y1,December 2017
12189s,12189s,F3,W04,December,-,wax,11,Y1,F3-Y1,December 2017
01051s,01051s,F1,W05,January,+,wash,8,Y1,F1-Y1,January 2018
01052s,01052s,F1,W05,January,-,dry ,15,Y1,F1-Y1,January 2018
01053s,01053s,F1,W05,January,-,wax,16,Y1,F1-Y1,January 2018
01054s,01054s,F2,W05,January,+,wash,23,Y1,F2-Y1,January 2018
01055s,01055s,F2,W05,January,+,dry ,22,Y1,F2-Y1,January 2018
01056s,01056s,F2,W05,January,+,wax,24,Y1,F2-Y1,January 2018
01057s,01057s,F3,W05,January,+,wash,6,Y1,F3-Y1,January 2018
01058s,01058s,F3,W05,January,-,dry ,17,Y1,F3-Y1,January 2018
01059s,01059s,F3,W05,January,+,wax,7,Y1,F3-Y1,January 2018
01191s,01191s,F1,W06,January,-,wash,18,Y1,F1-Y1,January 2018
01192s,01192s,F1,W06,January,-,dry ,17,Y1,F1-Y1,January 2018
01193s,01193s,F1,W06,January,+,wax,9,Y1,F1-Y1,January 2018
01194s,01194s,F2,W06,January,+,wash,26,Y1,F2-Y1,January 2018
01195s,01195s,F2,W06,January,+,dry ,25,Y1,F2-Y1,January 2018
01196s,01196s,F2,W06,January,+,wax,27,Y1,F2-Y1,January 2018
01197s,01197s,F3,W06,January,+,wash,8,Y1,F3-Y1,January 2018
01198s,01198s,F3,W06,January,-,dry ,18,Y1,F3-Y1,January 2018
