#Name,SampleID,Facility,Week ,Month,L. monocytogenes,Section,SampleOrder,SectionOrder,Year,FacY,Collection
11031t,11031t,F1,W01,November,+,wash,10,1,Y1,Y1-F1,November 2017
11032t,11032t,F1,W01,November,-,dry ,25,2,Y1,Y1-F1,November 2017
11033t,11033t,F1,W01,November,-,wax,26,3,Y1,Y1-F1,November 2017
11034t,11034t,F2,W01,November,+,wash,35,1,Y1,Y1-F2,November 2017
11035t,11035t,F2,W01,November,+,dry ,34,2,Y1,Y1-F2,November 2017
11036t,11036t,F2,W01,November,+,wax,36,3,Y1,Y1-F2,November 2017
11037t,11037t,F3,W01,November,-,wash,22,1,Y1,Y1-F3,November 2017
11038t,11038t,F3,W01,November,+,dry ,13,2,Y1,Y1-F3,November 2017
11039t,11039t,F3,W01,November,-,wax,23,3,Y1,Y1-F3,November 2017
11211t,11211t,F1,W02,November,+,wash,11,1,Y1,Y1-F1,November 2017
11212t,11212t,F1,W02,November,-,dry ,27,2,Y1,Y1-F1,November 2017
11213t,11213t,F1,W02,November,-,wax,28,3,Y1,Y1-F1,November 2017
11214t,11214t,F2,W02,November,+,wash,38,1,Y1,Y1-F2,November 2017
11215t,11215t,F2,W02,November,+,dry ,37,2,Y1,Y1-F2,November 2017
11216t,11216t,F2,W02,November,+,wax,39,3,Y1,Y1-F2,November 2017
11217t,11217t,F3,W02,November,+,wash,15,1,Y1,Y1-F3,November 2017
11218t,11218t,F3,W02,November,+,dry ,14,2,Y1,Y1-F3,November 2017
11219t,11219t,F3,W02,November,+,wax,16,3,Y1,Y1-F3,November 2017
12081t,12081t,F1,W03,December,+,wash,3,1,Y1,Y1-F1,December 2017
12082t,12082t,F1,W03,December,-,dry ,8,2,Y1,Y1-F1,December 2017
12083t,12083t,F1,W03,December,-,wax,9,3,Y1,Y1-F1,December 2017
12084t,12084t,F2,W03,December,+,wash,11,1,Y1,Y1-F2,December 2017
12085t,12085t,F2,W03,December,+,dry ,10,2,Y1,Y1-F2,December 2017
12086t,12086t,F2,W03,December,+,wax,12,3,Y1,Y1-F2,December 2017
12087t,12087t,F3,W03,December,+,wash,2,1,Y1,Y1-F3,December 2017
12088t,12088t,F3,W03,December,+,dry ,1,2,Y1,Y1-F3,December 2017
12089t,12089t,F3,W03,December,+,wax,3,3,Y1,Y1-F3,December 2017
12181t,12181t,F1,W04,December,-,wash,10,1,Y1,Y1-F1,December 2017
12182t,12182t,F1,W04,December,+,dry ,4,2,Y1,Y1-F1,December 2017
12183t,12183t,F1,W04,December,-,wax,11,3,Y1,Y1-F1,December 2017
12184t,12184t,F2,W04,December,+,wash,14,1,Y1,Y1-F2,December 2017
12185t,12185t,F2,W04,December,+,dry ,13,2,Y1,Y1-F2,December 2017
12186t,12186t,F2,W04,December,+,wax,15,3,Y1,Y1-F2,December 2017
12187t,12187t,F3,W04,December,-,wash,10,1,Y1,Y1-F3,December 2017
12188t,12188t,F3,W04,December,+,dry ,4,2,Y1,Y1-F3,December 2017
12189t,12189t,F3,W04,December,-,wax,11,3,Y1,Y1-F3,December 2017
01051t,01051t,F1,W05,January,+,wash,8,1,Y1,Y1-F1,January 2018
01052t,01052t,F1,W05,January,-,dry ,15,2,Y1,Y1-F1,January 2018
01053t,01053t,F1,W05,January,-,wax,16,3,Y1,Y1-F1,January 2018
01054t,01054t,F2,W05,January,+,wash,23,1,Y1,Y1-F2,January 2018
01055t,01055t,F2,W05,January,+,dry ,22,2,Y1,Y1-F2,January 2018
01056t,01056t,F2,W05,January,+,wax,24,3,Y1,Y1-F2,January 2018
01057t,01057t,F3,W05,January,+,wash,6,1,Y1,Y1-F3,January 2018
01058t,01058t,F3,W05,January,-,dry ,17,2,Y1,Y1-F3,January 2018
01059t,01059t,F3,W05,January,+,wax,7,3,Y1,Y1-F3,January 2018
01191t,01191t,F1,W06,January,-,wash,18,1,Y1,Y1-F1,January 2018
01192t,01192t,F1,W06,January,-,dry ,17,2,Y1,Y1-F1,January 2018
01193t,01193t,F1,W06,January,+,wax,9,3,Y1,Y1-F1,January 2018
01194t,01194t,F2,W06,January,+,wash,26,1,Y1,Y1-F2,January 2018
01195t,01195t,F2,W06,January,+,dry ,25,2,Y1,Y1-F2,January 2018
01196t,01196t,F2,W06,January,+,wax,27,3,Y1,Y1-F2,January 2018
01197t,01197t,F3,W06,January,+,wash,8,1,Y1,Y1-F3,January 2018
01198t,01198t,F3,W06,January,-,dry ,18,2,Y1,Y1-F3,January 2018
01199t,01199t,F3,W06,January,-,wax,19,3,Y1,Y1-F3,January 2018
02021t,02021t,F1,W07,February,+,wash,6,1,Y1,Y1-F1,February 2018
02022t,02022t,F1,W07,February,+,dry ,5,2,Y1,Y1-F1,February 2018
02023t,02023t,F1,W07,February,-,wax,12,3,Y1,Y1-F1,February 2018
02024t,02024t,F2,W07,February,+,wash,17,1,Y1,Y1-F2,February 2018
02025t,02025t,F2,W07,February,+,dry ,16,2,Y1,Y1-F2,February 2018
02026t,02026t,F2,W07,February,+,wax,18,3,Y1,Y1-F2,February 2018
02027t,02027t,F3,W07,February,+,wash,5,1,Y1,Y1-F3,February 2018
